project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
3837,4275,4959,הבדיקה בוצעה,02/12/2024,1,1,,,189399,665104,55,פתח תקווה,02/12/2024,ברנדה זאב,49,,,10,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,27,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3838,4276,4960,הבדיקה בוצעה,02/12/2024,1,1,,,180245,665773,1216,תל אביב - יפו,02/12/2024,"ויצמן ",49,,,8,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,25,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3839,4277,4961,הבדיקה בוצעה,02/12/2024,1,1,3923,455,180424.64130696002,652294.6638631938,67,ראשון לציון,02/12/2024,הירמוך 5,,,,6,1767,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1767,12,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3840,4278,4962,הבדיקה בוצעה,02/12/2024,1,1,6161,34,182687.74701848562,663989.77211972,18,גבעתיים,02/12/2024,ריינס 53 גבעתיים,,,,5,437,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,437,9,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3842,4280,4963,הבדיקה בוצעה,02/12/2024,1,1,5763,45,195906.97335347993,662620.6011988139,6,אלעד,02/12/2024,טרם נקבע,,,,8,16854.24,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,16854.24,144,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3844,4282,4965,הבדיקה בוצעה,02/12/2024,1,1,8984,2,178745.19333954374,663103.4949812855,1216,תל אביב - יפו,02/12/2024,"החלוצים 2 ",,,,6,242,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,242,14,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3845,4283,4966,הבדיקה בוצעה,02/12/2024,1,1,,,179065,666298,1216,תל אביב - יפו,02/12/2024,"זבוטינסקי ",31-33,,,5,666,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,666,22,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3846,4284,4967,הבדיקה בוצעה,02/12/2024,3,1,80072,59,199321.78502092813,645451.4445970162,41,מודיעין-מכבים-רעות,02/12/2024,מורשת מגרש 116,,,116,4,2710,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2710,27,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3846,4286,4969,הבדיקה בוצעה,02/12/2024,3,1,80072,59,199320.79283144374,645448.7987583912,41,מודיעין-מכבים-רעות,02/12/2024,מורשת מגרש 116,,,116,4,5491,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,5491,27,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3847,4287,4970,הבדיקה בוצעה,02/12/2024,1,1,6396,220,189653.27144818436,665021.4211405432,55,פתח תקווה,02/12/2024,חפץ חיים 80-82 פתח תקוה,,,,9,1067,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1067,37,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
